first name,well wishes
Mum,"Happy wife, happy life"
Dad,All the best to the couple!
Guest1,It wasn't by choice we met but yay we are family <3 Blessed marriage to both of you! haha
Guest2,We are very happy to attend your wedding and wishing you love and happiness in your marriage!
Guest3,"I wish you the best for this milestone in your journey together. May this strengthen your love, deepen your relationship and bring you closer to each others, as well as enrich your lives' meaning"
Guest4,The bride to be is my favourite colleague!
Guest5,So so happy that your adventurous souls connected! Have a very blissful and wonderful marriage loves!
Guest6,Looking forward to the wedding day!
Guest7,Huat ah!
Guest8,Congrats!
Guest9,Baby soon?
